GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.6245,-0.1748,1.8903,0.0431,-0.284,0.1043,-41.55,-12.6,5.9,134.44,1.02,-78.89,5,2014-12-29 02:51:17:007
9.5221,-0.2584,2.3443,0.0733,0.0079,0.3051,-41.3,-13.4,4.8,133.71,1.51,-76.17,305,2014-12-29 02:51:17:307
9.5412,-0.3275,2.2569,0.09,0.3271,-0.0079,-41.4,-14.35,2.2,143.36,1.91,-76.69,605,2014-12-29 02:51:17:607
9.5371,-0.6456,2.2049,0.1066,0.1941,4.0E-4,-41.75,-15.05,0.35,150.94,3.12,-76.84,905,2014-12-29 02:51:17:907
9.5064,-0.7791,2.2922,0.0365,0.2552,0.0043,-41.65,-15.75,-1.65,157.82,4.16,-76.68,1205,2014-12-29 02:51:18:207
9.4916,-1.0147,2.2613,0.0088,0.5065,0.339,-41.2,-15.15,-4.4,162.62,5.16,-76.3,1505,2014-12-29 02:51:18:507
9.5495,-1.0155,2.0022,0.0698,0.7938,0.3575,-41.15,-14.6,-7.3,173.57,6.2,-77.3,1805,2014-12-29 02:51:18:807
9.5656,-1.0772,1.8906,0.0088,0.566,0.3111,-41.0,-14.1,-10.55,188.7,6.3,-78.82,2105,2014-12-29 02:51:19:107
9.5787,-1.1083,1.804,-0.0193,0.7628,0.3307,-40.8,-13.1,-13.3,196.3,6.49,-79.33,2405,2014-12-29 02:51:19:407
9.5479,-1.1638,1.9278,0.0774,0.5137,0.4296,-40.65,-11.5,-16.05,205.23,6.81,-78.58,2705,2014-12-29 02:51:19:707
9.5612,-1.1969,1.8397,-0.068,0.6164,0.3396,-39.85,-10.15,-18.4,214.06,6.82,-79.14,3005,2014-12-29 02:51:20:007
9.5392,-1.265,1.9072,0.1362,0.5868,0.4771,-39.35,-8.7,-20.4,220.25,7.11,-78.71,3305,2014-12-29 02:51:20:307
9.5488,-1.3704,1.7825,0.0322,0.733,0.5414,-38.7,-6.3,-22.1,230.67,7.69,-79.06,3605,2014-12-29 02:51:20:607
9.5498,-1.4632,1.7012,-0.0237,0.5986,0.3157,-38.55,-2.55,-23.05,239.51,8.32,-79.49,3905,2014-12-29 02:51:20:907
9.5715,-1.3607,1.6641,0.1415,0.5636,0.6143,-37.9,2.55,-23.4,260.27,7.97,-80.14,4205,2014-12-29 02:51:21:207
9.5991,-1.4324,1.4282,-0.0127,0.6402,0.4777,-37.95,5.9,-22.6,269.84,8.4,-81.54,4504,2014-12-29 02:51:21:506
9.6004,-1.4815,1.3685,0.2414,0.6844,0.4155,-37.75,9.35,-21.25,280.17,8.69,-81.89,4805,2014-12-29 02:51:21:807
9.6048,-1.5431,1.2658,-0.1206,0.9227,0.1519,-37.7,13.15,-19.55,291.76,9.67,-82.97,5105,2014-12-29 02:51:22:107
9.6085,-1.4521,1.3426,-0.0138,0.4392,0.4444,-38.05,15.5,-18.3,307.77,8.88,-81.8,5405,2014-12-29 02:51:22:407
9.6398,-1.0305,1.4987,0.0525,0.6052,0.1007,-38.05,16.0,-17.7,310.56,7.54,-81.77,5705,2014-12-29 02:51:22:707
9.6748,-0.5453,1.5277,-0.1175,0.1635,0.4332,-38.2,14.8,-18.7,312.78,4.61,-80.74,6004,2014-12-29 02:51:23:006
9.6822,-0.0329,1.5776,0.0729,-0.1687,0.4643,-38.95,8.35,-21.85,296.97,0.19,-80.75,6305,2014-12-29 02:51:23:307
9.6715,0.3161,1.6115,-0.0683,-0.8061,0.5851,-38.9,1.9,-22.75,281.67,-1.85,-80.54,6605,2014-12-29 02:51:23:607
9.6425,0.638,1.6877,-0.1923,-0.6696,0.6053,-38.9,-4.7,-21.7,261.46,-3.73,-80.07,6905,2014-12-29 02:51:23:907
9.6171,1.0007,1.6569,-0.0027,-0.5489,0.9643,-38.9,-10.9,-19.75,242.2,-5.67,-79.99,7208,2014-12-29 02:51:24:210
9.6401,0.9487,1.5499,-0.0733,-0.8775,0.8453,-38.75,-15.0,-16.0,220.78,-5.44,-80.74,7505,2014-12-29 02:51:24:507
9.6298,1.2405,1.4015,0.0415,-0.7091,0.8654,-39.1,-17.05,-11.0,201.76,-5.89,-81.49,7805,2014-12-29 02:51:24:807
9.6522,1.3177,1.1538,-0.253,-0.7956,1.1098,-39.5,-18.3,-5.55,185.14,-7.9,-82.88,8104,2014-12-29 02:51:25:106
9.6629,1.1239,1.2646,-0.2426,-1.2602,1.3981,-39.75,-16.45,2.65,144.38,-6.58,-82.54,8405,2014-12-29 02:51:25:407
9.6741,0.8257,1.4015,-0.1254,-0.4269,0.7296,-40.45,-13.15,6.35,129.71,-4.83,-81.76,8704,2014-12-29 02:51:25:706
9.6552,0.7182,1.58,0.0543,-0.2913,0.5944,-40.55,-12.15,7.95,122.08,-4.2,-80.71,9005,2014-12-29 02:51:26:007
9.6473,0.5991,1.6749,-0.0614,-0.3,0.4521,-40.65,-11.45,8.0,119.89,-3.65,-80.34,9304,2014-12-29 02:51:26:306